FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
R|FL|beach|beach|peach|beach|stop|affricate|onset|training||1|1|BEACH|right|M4|M4_FL_70dB_beach
|CR|aid|aid|ate|aid|vowel|stop|offset|training|d|1|2|AID|right|M4|M4_CR_70dB_aid
|FL|they|they|say|they|fricative|vowel|onset|training||1|3|THEY|right|M4|M4_FL_70dB_they
|CR|pot|pot|pot|pod|stop|stop|offset|training|t|0|4|POT|left|M4|M4_CR_70dB_pot
V|FL|glean|glean|glean|green|stop|nasal|onset|training||0|5|GLEAN|left|M4|M4_FL_70dB_glean
|FL|bathe|bathe|bathe|base|stop|fricative|offset|training||0|6|BATHE|left|M4|M4_FL_70dB_bathe
|CR|pond|pond|pound|pond|stop|stop|vowel|training|d|1|7|POND|right|M4|M4_CR_70dB_pond
R|FL|came|came|came|cane|stop|nasal|offset|training||0|8|CAME|left|M4|M4_FL_70dB_came
R|FL|tan|tan|ten|tan|stop|nasal|vowel|training||1|9|TAN|right|M4|M4_FL_70dB_tan
V|FL|vine|vine|vein|vine|fricative|nasal|vowel|training||1|10|VINE|right|M4|M4_FL_70dB_vine
|CR|lab|lab|lap|lab|liquid|stop|offset|training|b|1|11|LAB|right|M4|M4_CR_70dB_lab
R|FL|buys|buys|buys|pies|stop|fricative|onset|training||0|12|BUYS|left|M4|M4_FL_70dB_buys
|FL|rang|rang|ran|rang|liquid|nasal|offset|training||1|13|RANG|right|M4|M4_FL_70dB_rang
|CR|hood|hood|hood|hook|fricative|stop|offset|training|d|0|14|HOOD|left|M4|M4_CR_70dB_hood
|FL|clear|clear|clear|queer|stop|liquid|onset|training||0|15|CLEAR|left|M4|M4_FL_70dB_clear
|FL|holds|holds|holes|holds|fricative|fricative|offset|training||1|16|HOLDS|right|M4|M4_FL_70dB_holds
|CR|find|find|find|fond|fricative|stop|vowel|training|d|0|17|FIND|left|M4|M4_CR_70dB_find
R|FL|gown|gown|gown|gone|stop|nasal|vowel|training||0|18|GOWN|left|M4|M4_FL_70dB_gown
V|FL|cords|cords|cords|cores|stop|fricative|offset|training||0|19|CORDS|left|M4|M4_FL_70dB_cords
|CR|vet|vet|wet|vet|fricative|stop|onset|training|t|1|20|VET|right|M4|M4_CR_70dB_vet
R|FL|seen|seen|seem|seen|fricative|nasal|offset|training||1|21|SEEN|right|M4|M4_FL_70dB_seen
V|FL|green|green|grin|green|stop|nasal|vowel|training||1|22|GREEN|right|M4|M4_FL_70dB_green
|CR|white|white|white|wide|approximant|stop|offset|training|t|0|23|WHITE|left|M4|M4_CR_70dB_white
|FL|falls|falls|falls|false|fricative|fricative|offset|training||0|24|FALLS|left|M4|M4_FL_70dB_falls
R|FL|sin|sin|sing|sin|fricative|nasal|offset|training||1|25|SIN|right|M4|M4_FL_70dB_sin
|FL|lose|lose|lose|loose|liquid|fricative|offset|training||0|26|LOSE|left|M4|M4_FL_70dB_lose
|CR|head|head|head|heck|fricative|stop|offset|training|d|0|27|HEAD|left|M4|M4_CR_70dB_head
|FL|clown|clown|clone|clown|stop|nasal|vowel|training||1|28|CLOWN|right|M4|M4_FL_70dB_clown
|FL|path|path|pass|path|stop|fricative|offset|training||1|29|PATH|right|M4|M4_FL_70dB_path
|FL|train|train|train|chain|stop|nasal|onset|training||0|30|TRAIN|left|M4|M4_FL_70dB_train
|CR|look|look|luck|look|liquid|stop|vowel|training|k|1|31|LOOK|right|M4|M4_CR_70dB_look
|FL|though|though|though|so|fricative|vowel|onset|training||0|32|THOUGH|left|M4|M4_FL_70dB_though
R|FL|pies|pies|buys|pies|stop|fricative|onset|training||1|33|PIES|right|M4|M4_FL_70dB_pies
|CR|ride|ride|right|ride|liquid|stop|offset|training|d|1|34|RIDE|right|M4|M4_CR_70dB_ride
R|FL|peach|peach|beach|peach|stop|affricate|onset|training||1|35|PEACH|right|M4|M4_FL_70dB_peach
V|FL|sun|sun|sun|soon|fricative|nasal|vowel|training||0|36|SUN|left|M4|M4_FL_70dB_sun
R|FL|win|win|win|wing|approximant|nasal|offset|training||0|37|WIN|left|M4|M4_FL_70dB_win
|CR|need|need|neat|need|nasal|stop|offset|training|d|1|38|NEED|right|M4|M4_CR_70dB_need
|CR|beg|beg|beg|bed|stop|stop|offset|training|g|0|39|BEG|left|M4|M4_CR_70dB_beg
R|FL|seem|seem|seem|seen|fricative|nasal|offset|training||0|40|SEEM|left|M4|M4_FL_70dB_seem
|FL|beads|beads|beats|beads|stop|fricative|offset|training||1|41|BEADS|right|M4|M4_FL_70dB_beads
|CR|peak|peak|pig|peak|stop|stop|vowel|training|k|1|42|PEAK|right|M4|M4_CR_70dB_peak
|FL|please|please|please|fleas|stop|fricative|onset|training||0|43|PLEASE|left|M4|M4_FL_70dB_please
|CR|put|put|pot|put|stop|stop|vowel|training|t|1|44|PUT|right|M4|M4_CR_70dB_put
|CR|said|said|said|set|fricative|stop|offset|training|d|0|45|SAID|left|M4|M4_CR_70dB_said
R|FL|fool|fool|fall|fool|fricative|liquid|vowel|training||1|46|FOOL|right|M4|M4_FL_70dB_fool
|FL|clean|clean|clean|queen|stop|nasal|onset|training||0|47|CLEAN|left|M4|M4_FL_70dB_clean
|CR|shot|shot|shot|shock|fricative|stop|offset|training|t|0|48|SHOT|left|M4|M4_CR_70dB_shot
R|FL|tie|tie|die|tie|stop|vowel|onset|training||1|49|TIE|right|M4|M4_FL_70dB_tie
V|FL|some|some|some|sun|fricative|nasal|offset|training||0|50|SOME|left|M4|M4_FL_70dB_some
|CR|neat|neat|need|neat|nasal|stop|offset|training|t|1|51|NEAT|right|M4|M4_CR_70dB_neat
|FL|carve|carve|car|carve|stop|fricative|offset|training||1|52|CARVE|right|M4|M4_FL_70dB_carve
R|FL|gone|gone|gown|gone|stop|nasal|vowel|training||1|53|GONE|right|M4|M4_FL_70dB_gone
|CR|pat|pat|pat|pad|stop|stop|offset|training|t|0|54|PAT|left|M4|M4_CR_70dB_pat
|FL|fun|fun|phone|fun|fricative|nasal|vowel|training||1|55|FUN|right|M4|M4_FL_70dB_fun
|CR|not|not|nod|not|nasal|stop|offset|training|t|1|56|NOT|right|M4|M4_CR_70dB_not
R|FL|wing|wing|wing|win|approximant|nasal|offset|training||0|57|WING|left|M4|M4_FL_70dB_wing
|FL|serve|serve|sir|serve|fricative|fricative|offset|training||1|58|SERVE|right|M4|M4_FL_70dB_serve
|CR|good|good|good|could|stop|stop|onset|training|d|0|59|GOOD|left|M4|M4_CR_70dB_good
|CR|dig|dig|dig|dick|stop|stop|offset|training|g|0|60|DIG|left|M4|M4_CR_70dB_dig
R|FL|dime|dime|dime|time|stop|nasal|onset|training||0|61|DIME|left|M4|M4_FL_70dB_dime
|FL|curve|curve|curb|curve|stop|fricative|offset|training||1|62|CURVE|right|M4|M4_FL_70dB_curve
