FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
R|FL|cane|cane|cane|came|stop|nasal|offset|training||0|1|CANE|left|M4|M4_FL_70dB_cane
|FL|room|room|room|roam|liquid|nasal|vowel|training||0|2|ROOM|left|M4|M4_FL_70dB_room
V|FL|thing|thing|sing|thing|fricative|nasal|onset|training||1|3|THING|right|M4|M4_FL_70dB_thing
|CR|lad|lad|lad|lab|liquid|stop|offset|training|d|0|4|LAD|left|M4|M4_CR_70dB_lad
|FL|peas|peas|peas|peace|stop|fricative|offset|training||0|5|PEAS|left|M4|M4_FL_70dB_peas
|FL|cards|cards|cars|cards|stop|fricative|offset|training||1|6|CARDS|right|M4|M4_FL_70dB_cards
|CR|sit|sit|sick|sit|fricative|stop|offset|training|t|1|7|SIT|right|M4|M4_CR_70dB_sit
V|FL|ram|ram|ram|ran|liquid|nasal|offset|training||0|8|RAM|left|M4|M4_FL_70dB_ram
|CR|hut|hut|hug|hut|fricative|stop|offset|training|t|1|9|HUT|right|M4|M4_CR_70dB_hut
R|FL|teen|teen|team|teen|fricative|nasal|offset|training||1|10|TEEN|right|M4|M4_FL_70dB_teen
R|FL|pool|pool|pull|pool|stop|liquid|vowel|training||1|11|POOL|right|M4|M4_FL_70dB_pool
|CR|mop|mop|mop|mob|nasal|stop|offset|training|p|0|12|MOP|left|M4|M4_CR_70dB_mop
|FL|live|live|live|lib|liquid|fricative|offset|training||0|13|LIVE|left|M4|M4_FL_70dB_live
|CR|tuck|tuck|tug|tuck|stop|stop|offset|training|k|1|14|TUCK|right|M4|M4_CR_70dB_tuck
R|FL|team|team|team|teen|fricative|nasal|offset|training||0|15|TEAM|left|M4|M4_FL_70dB_team
|FL|robes|robes|ropes|robes|liquid|fricative|offset|training||1|16|ROBES|right|M4|M4_FL_70dB_robes
R|FL|die|die|tie|die|stop|vowel|onset|training||1|17|DIE|right|M4|M4_FL_70dB_die
|CR|slide|slide|slide|slight|fricative|stop|offset|training|d|0|18|SLIDE|left|M4|M4_CR_70dB_slide
|FL|fields|fields|fields|feels|fricative|fricative|offset|training||0|19|FIELDS|left|M4|M4_FL_70dB_fields
|CR|god|god|god|got|stop|stop|offset|training|d|0|20|GOD|left|M4|M4_CR_70dB_god
|FL|tune|tune|tone|tune|stop|nasal|vowel|training||1|21|TUNE|right|M4|M4_FL_70dB_tune
V|FL|gun|gun|gum|gun|stop|nasal|offset|training||1|22|GUN|right|M4|M4_FL_70dB_gun
|CR|cop|cop|cob|cop|stop|stop|offset|training|p|1|23|COP|right|M4|M4_CR_70dB_cop
R|FL|gloom|gloom|gloom|groom|stop|nasal|onset|training||0|24|GLOOM|left|M4|M4_FL_70dB_gloom
|CR|gild|gild|guilt|gild|stop|stop|offset|training|d|1|25|GILD|right|M4|M4_CR_70dB_gild
V|FL|soon|soon|soon|sewn|fricative|nasal|vowel|training||0|26|SOON|left|M4|M4_FL_70dB_soon
R|FL|time|time|dime|time|stop|nasal|onset|training||1|27|TIME|right|M4|M4_FL_70dB_time
|CR|sad|sad|sad|sat|fricative|stop|offset|training|d|0|28|SAD|left|M4|M4_CR_70dB_sad
|CR|rode|rode|rode|wrote|liquid|stop|offset|training|d|0|29|RODE|left|M4|M4_CR_70dB_rode
R|FL|fall|fall|fool|fall|fricative|liquid|vowel|training||1|30|FALL|right|M4|M4_FL_70dB_fall
|CR|mob|mob|mop|mob|nasal|stop|offset|training|b|1|31|MOB|right|M4|M4_CR_70dB_mob
|FL|verve|verve|verb|verve|fricative|fricative|offset|training||1|32|VERVE|right|M4|M4_FL_70dB_verve
|CR|lip|lip|lip|lib|liquid|stop|offset|training|p|0|33|LIP|left|M4|M4_CR_70dB_lip
R|FL|ten|ten|tan|ten|stop|nasal|vowel|training||1|34|TEN|right|M4|M4_FL_70dB_ten
|FL|draw|draw|draw|jaw|stop|vowel|onset|training||0|35|DRAW|left|M4|M4_FL_70dB_draw
|CR|bag|bag|bag|bat|stop|stop|offset|training|g|0|36|BAG|left|M4|M4_CR_70dB_bag
V|FL|pain|pain|pain|pen|stop|nasal|vowel|training||0|37|PAIN|left|M4|M4_FL_70dB_pain
|CR|pound|pound|pond|pound|stop|stop|vowel|training|d|1|38|POUND|right|M4|M4_CR_70dB_pound
|FL|breathe|breathe|breeze|breathe|stop|fricative|offset|training||1|39|BREATHE|right|M4|M4_FL_70dB_breathe
|FL|bull|bull|bull|ball|stop|liquid|vowel|training||0|40|BULL|left|M4|M4_FL_70dB_bull
|CR|cut|cut|cut|cup|stop|stop|offset|training|t|0|41|CUT|left|M4|M4_CR_70dB_cut
|FL|fail|fail|fell|fail|fricative|liquid|vowel|training||1|42|FAIL|right|M4|M4_FL_70dB_fail
|CR|drug|drug|drug|jug|stop|stop|onset|training|g|0|43|DRUG|left|M4|M4_CR_70dB_drug
|CR|lap|lap|lab|lap|liquid|stop|offset|training|p|1|44|LAP|right|M4|M4_CR_70dB_lap
|FL|town|town|town|tone|stop|nasal|vowel|training||0|45|TOWN|left|M4|M4_FL_70dB_town
|FL|tomb|tomb|tune|tomb|stop|nasal|offset|training||1|46|TOMB|right|M4|M4_FL_70dB_tomb
|CR|clock|clock|clock|clog|stop|stop|offset|training|k|0|47|CLOCK|left|M4|M4_CR_70dB_clock
R|FL|sing|sing|sing|sin|fricative|nasal|offset|training||0|48|SING|left|M4|M4_FL_70dB_sing
|FL|sends|sends|sends|sense|fricative|fricative|offset|training||0|49|SENDS|left|M4|M4_FL_70dB_sends
R|FL|groom|groom|groom|gloom|stop|nasal|onset|training||0|50|GROOM|left|M4|M4_FL_70dB_groom
|CR|night|night|neck|night|nasal|stop|vowel|training|t|1|51|NIGHT|right|M4|M4_CR_70dB_night
|FL|herds|herds|herds|hers|fricative|fricative|offset|training||0|52|HERDS|left|M4|M4_FL_70dB_herds
|CR|pet|pet|peck|pet|stop|stop|offset|training|t|1|53|PET|right|M4|M4_CR_70dB_pet
V|FL|gum|gum|gum|gun|stop|nasal|offset|training||0|54|GUM|left|M4|M4_FL_70dB_gum
|CR|got|got|god|got|stop|stop|offset|training|t|1|55|GOT|right|M4|M4_CR_70dB_got
|FL|rove|rove|robe|rove|liquid|fricative|offset|training||1|56|ROVE|right|M4|M4_FL_70dB_rove
|CR|bad|bad|bad|bat|stop|stop|offset|training|d|0|57|BAD|left|M4|M4_CR_70dB_bad
V|FL|vein|vein|vein|wane|fricative|nasal|onset|training||0|58|VEIN|left|M4|M4_FL_70dB_vein
V|FL|cores|cores|course|cores|stop|fricative|offset|training||1|59|CORES|right|M4|M4_FL_70dB_cores
|CR|shout|shout|shot|shout|fricative|stop|vowel|training|t|1|60|SHOUT|right|M4|M4_CR_70dB_shout
|FL|game|game|game|came|stop|nasal|onset|training||0|61|GAME|left|M4|M4_FL_70dB_game
|CR|lib|lib|lip|lib|liquid|stop|offset|training|b|1|62|LIB|right|M4|M4_CR_70dB_lib
|CR|late|late|late|laid|liquid|stop|offset|training|t|0|63|LATE|left|M4|M4_CR_70dB_late
V|FL|thin|thin|thing|thin|fricative|nasal|offset|training||1|64|THIN|right|M4|M4_FL_70dB_thin
R|FL|pull|pull|pool|pull|stop|liquid|vowel|training||1|65|PULL|right|M4|M4_FL_70dB_pull
|CR|bed|bed|bed|bet|stop|stop|offset|training|d|0|66|BED|left|M4|M4_CR_70dB_bed
|FL|gong|gong|gong|gone|stop|nasal|offset|training||0|67|GONG|left|M4|M4_FL_70dB_gong
|CR|wait|wait|wade|wait|approximant|stop|offset|training|t|1|68|WAIT|right|M4|M4_CR_70dB_wait
|FL|curve|curve|curb|curve|stop|fricative|offset|training||1|69|CURVE|right|M4|M4_FL_70dB_curve
R|FL|dime|dime|dime|time|stop|nasal|onset|training||0|70|DIME|left|M4|M4_FL_70dB_dime
|CR|dig|dig|dig|dick|stop|stop|offset|training|g|0|71|DIG|left|M4|M4_CR_70dB_dig
|CR|good|good|good|could|stop|stop|onset|training|d|0|72|GOOD|left|M4|M4_CR_70dB_good
|FL|serve|serve|sir|serve|fricative|fricative|offset|training||1|73|SERVE|right|M4|M4_FL_70dB_serve
R|FL|wing|wing|wing|win|approximant|nasal|offset|training||0|74|WING|left|M4|M4_FL_70dB_wing
|CR|not|not|nod|not|nasal|stop|offset|training|t|1|75|NOT|right|M4|M4_CR_70dB_not
|FL|fun|fun|phone|fun|fricative|nasal|vowel|training||1|76|FUN|right|M4|M4_FL_70dB_fun
|CR|pat|pat|pat|pad|stop|stop|offset|training|t|0|77|PAT|left|M4|M4_CR_70dB_pat
R|FL|gone|gone|gown|gone|stop|nasal|vowel|training||1|78|GONE|right|M4|M4_FL_70dB_gone
|FL|carve|carve|car|carve|stop|fricative|offset|training||1|79|CARVE|right|M4|M4_FL_70dB_carve
|CR|neat|neat|need|neat|nasal|stop|offset|training|t|1|80|NEAT|right|M4|M4_CR_70dB_neat
V|FL|some|some|some|sun|fricative|nasal|offset|training||0|81|SOME|left|M4|M4_FL_70dB_some
R|FL|tie|tie|die|tie|stop|vowel|onset|training||1|82|TIE|right|M4|M4_FL_70dB_tie
|CR|shot|shot|shot|shock|fricative|stop|offset|training|t|0|83|SHOT|left|M4|M4_CR_70dB_shot
|FL|clean|clean|clean|queen|stop|nasal|onset|training||0|84|CLEAN|left|M4|M4_FL_70dB_clean
R|FL|fool|fool|fall|fool|fricative|liquid|vowel|training||1|85|FOOL|right|M4|M4_FL_70dB_fool
|CR|said|said|said|set|fricative|stop|offset|training|d|0|86|SAID|left|M4|M4_CR_70dB_said
|CR|put|put|pot|put|stop|stop|vowel|training|t|1|87|PUT|right|M4|M4_CR_70dB_put
|FL|please|please|please|fleas|stop|fricative|onset|training||0|88|PLEASE|left|M4|M4_FL_70dB_please
|CR|peak|peak|pig|peak|stop|stop|vowel|training|k|1|89|PEAK|right|M4|M4_CR_70dB_peak
|FL|beads|beads|beats|beads|stop|fricative|offset|training||1|90|BEADS|right|M4|M4_FL_70dB_beads
R|FL|seem|seem|seem|seen|fricative|nasal|offset|training||0|91|SEEM|left|M4|M4_FL_70dB_seem
|CR|beg|beg|beg|bed|stop|stop|offset|training|g|0|92|BEG|left|M4|M4_CR_70dB_beg
