FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,beach,beach,beach,peach,stop,affricate,onset,training,,0,130,beach,left
,CR,aid,aid,aid,ate,vowel,stop,offset,training,d,0,129,aid,left
,FL,they,they,they,say,fricative,vowel,onset,training,,0,128,they,left
,CR,pot,pot,pod,pot,stop,stop,offset,training,t,1,127,pot,right
V,FL,glean,glean,green,glean,stop,nasal,onset,training,,1,126,glean,right
,FL,bathe,bathe,base,bathe,stop,fricative,offset,training,,1,125,bathe,right
,CR,pond,pond,pond,pound,stop,stop,vowel,training,d,0,124,pond,left
R,FL,came,came,cane,came,stop,nasal,offset,training,,1,123,came,right
R,FL,tan,tan,tan,ten,stop,nasal,vowel,training,,0,122,tan,left
V,FL,vine,vine,vine,vein,fricative,nasal,vowel,training,,0,121,vine,left
,CR,lab,lab,lab,lap,liquid,stop,offset,training,b,0,120,lab,left
R,FL,buys,buys,pies,buys,stop,fricative,onset,training,,1,119,buys,right
,FL,rang,rang,rang,ran,liquid,nasal,offset,training,,0,118,rang,left
,CR,hood,hood,hook,hood,fricative,stop,offset,training,d,1,117,hood,right
,FL,clear,clear,queer,clear,stop,liquid,onset,training,,1,116,clear,right
,FL,holds,holds,holds,holes,fricative,fricative,offset,training,,0,115,holds,left
,CR,find,find,fond,find,fricative,stop,vowel,training,d,1,114,find,right
R,FL,gown,gown,gone,gown,stop,nasal,vowel,training,,1,113,pan,right
V,FL,cords,cords,cores,cords,stop,fricative,offset,training,,1,112,cords,right
,CR,vet,vet,vet,wet,fricative,stop,onset,training,t,0,111,vet,left
R,FL,seen,seen,seen,seem,fricative,nasal,offset,training,,0,110,seen,left
V,FL,green,green,green,grin,stop,nasal,vowel,training,,0,109,green,left
,CR,white,white,wide,white,approximant,stop,offset,training,t,1,108,white,right
,FL,falls,falls,FALSE,falls,fricative,fricative,offset,training,,1,107,falls,right
R,FL,sin,sin,sin,sing,fricative,nasal,offset,training,,0,106,sin,left
,FL,lose,lose,loose,lose,liquid,fricative,offset,training,,1,105,lose,right
,CR,head,head,heck,head,fricative,stop,offset,training,d,1,104,head,right
,FL,clown,clown,clown,clone,stop,nasal,vowel,training,,0,103,clown,left
,FL,path,path,path,pass,stop,fricative,offset,training,,0,102,path,left
,FL,train,train,chain,train,stop,nasal,onset,training,,1,101,train,right
,CR,look,look,look,luck,liquid,stop,vowel,training,k,0,100,look,left
,FL,though,though,so,though,fricative,vowel,onset,training,,1,99,though,right
R,FL,pies,pies,pies,buys,stop,fricative,onset,training,,0,98,pies,left
,CR,ride,ride,ride,right,liquid,stop,offset,training,d,0,97,ride,left
R,FL,peach,peach,peach,beach,stop,affricate,onset,training,,0,96,peach,left
V,FL,sun,sun,soon,sun,fricative,nasal,vowel,training,,1,95,sun,right
R,FL,win,win,wing,win,approximant,nasal,offset,training,,1,94,win,right
,CR,need,need,need,neat,nasal,stop,offset,training,d,0,93,need,left
,CR,beg,beg,bed,beg,stop,stop,offset,training,g,1,92,beg,right
R,FL,seem,seem,seen,seem,fricative,nasal,offset,training,,1,91,seem,right
,FL,beads,beads,beads,beats,stop,fricative,offset,training,,0,90,beads,left
,CR,peak,peak,peak,pig,stop,stop,vowel,training,k,0,89,peak,left
,FL,please,please,fleas,please,stop,fricative,onset,training,,1,88,please,right
,CR,put,put,put,pot,stop,stop,vowel,training,t,0,87,put,left
,CR,said,said,set,said,fricative,stop,offset,training,d,1,86,said,right
R,FL,fool,fool,fool,fall,fricative,liquid,vowel,training,,0,85,fool,left
,FL,clean,clean,queen,clean,stop,nasal,onset,training,,1,84,clean,right
,CR,shot,shot,shock,shot,fricative,stop,offset,training,t,1,83,shot,right
R,FL,tie,tie,tie,die,stop,vowel,onset,training,,0,82,tie,left
V,FL,some,some,sun,some,fricative,nasal,offset,training,,1,81,some,right
,CR,neat,neat,neat,need,nasal,stop,offset,training,t,0,80,neat,left
,FL,carve,carve,carve,car,stop,fricative,offset,training,,0,79,carve,left
R,FL,gone,gone,gone,gown,stop,nasal,vowel,training,,0,78,gone,left
,CR,pat,pat,pad,pat,stop,stop,offset,training,t,1,77,pat,right
,FL,fun,fun,fun,phone,fricative,nasal,vowel,training,,0,76,fun,left
,CR,not,not,not,nod,nasal,stop,offset,training,t,0,75,not,left
R,FL,wing,wing,win,wing,approximant,nasal,offset,training,,1,74,wing,right
,FL,serve,serve,serve,sir,fricative,fricative,offset,training,,0,73,serve,left
,CR,good,good,could,good,stop,stop,onset,training,d,1,72,good,right
,CR,dig,dig,dick,dig,stop,stop,offset,training,g,1,71,dig,right
R,FL,dime,dime,time,dime,stop,nasal,onset,training,,1,70,dime,right
,FL,curve,curve,curve,curb,stop,fricative,offset,training,,0,69,curve,left
,CR,wait,wait,wait,wade,approximant,stop,offset,training,t,0,68,wait,left
,FL,gong,gong,gone,gong,stop,nasal,offset,training,,1,67,gong,right
,CR,bed,bed,bet,bed,stop,stop,offset,training,d,1,66,bed,right
R,FL,pull,pull,pull,pool,stop,liquid,vowel,training,,0,65,pull,left
V,FL,thin,thin,thin,thing,fricative,nasal,offset,training,,0,64,thin,left
,CR,late,late,laid,late,liquid,stop,offset,training,t,1,63,late,right
,CR,lib,lib,lib,lip,liquid,stop,offset,training,b,0,62,lib,left
,FL,game,game,came,game,stop,nasal,onset,training,,1,61,game,right
,CR,shout,shout,shout,shot,fricative,stop,vowel,training,t,0,60,shout,left
V,FL,cores,cores,cores,course,stop,fricative,offset,training,,0,59,cores,left
V,FL,vein,vein,wane,vein,fricative,nasal,onset,training,,1,58,vein,right
,CR,bad,bad,bat,bad,stop,stop,offset,training,d,1,57,bad,right
,FL,rove,rove,rove,robe,liquid,fricative,offset,training,,0,56,rove,left
,CR,got,got,got,god,stop,stop,offset,training,t,0,55,got,left
V,FL,gum,gum,gun,gum,stop,nasal,offset,training,,1,54,gum,right
,CR,pet,pet,pet,peck,stop,stop,offset,training,t,0,53,pet,left
,FL,herds,herds,hers,herds,fricative,fricative,offset,training,,1,52,herds,right
,CR,night,night,night,neck,nasal,stop,vowel,training,t,0,51,night,left
R,FL,groom,groom,gloom,groom,stop,nasal,onset,training,,1,50,groom,right
,FL,sends,sends,sense,sends,fricative,fricative,offset,training,,1,49,sends,right
R,FL,sing,sing,sin,sing,fricative,nasal,offset,training,,1,48,sing,right
,CR,clock,clock,clog,clock,stop,stop,offset,training,k,1,47,clock,right
,FL,tomb,tomb,tomb,tune,stop,nasal,offset,training,,0,46,tomb,left
,FL,town,town,tone,town,stop,nasal,vowel,training,,1,45,town,right
,CR,lap,lap,lap,lab,liquid,stop,offset,training,p,0,44,lap,left
,CR,drug,drug,jug,drug,stop,stop,onset,training,g,1,43,drug,right
,FL,fail,fail,fail,fell,fricative,liquid,vowel,training,,0,42,fail,left
,CR,cut,cut,cup,cut,stop,stop,offset,training,t,1,41,cut,right
,FL,bull,bull,ball,bull,stop,liquid,vowel,training,,1,40,bull,right
,FL,breathe,breathe,breathe,breeze,stop,fricative,offset,training,,0,39,breathe,left
,CR,pound,pound,pound,pond,stop,stop,vowel,training,d,0,38,pound,left
V,FL,pain,pain,pen,pain,stop,nasal,vowel,training,,1,37,pain,right
,CR,bag,bag,bat,bag,stop,stop,offset,training,g,1,36,bag,right
,FL,draw,draw,jaw,draw,stop,vowel,onset,training,,1,35,draw,right
R,FL,ten,ten,ten,tan,stop,nasal,vowel,training,,0,34,ten,left
,CR,lip,lip,lib,lip,liquid,stop,offset,training,p,1,33,lip,right
,FL,verve,verve,verve,verb,fricative,fricative,offset,training,,0,32,verve,left
,CR,mob,mob,mob,mop,nasal,stop,offset,training,b,0,31,mob,left
R,FL,fall,fall,fall,fool,fricative,liquid,vowel,training,,0,30,fall,left
,CR,rode,rode,wrote,rode,liquid,stop,offset,training,d,1,29,rode,right
,CR,sad,sad,sat,sad,fricative,stop,offset,training,d,1,28,sad,right
R,FL,time,time,time,dime,stop,nasal,onset,training,,0,27,time,left
V,FL,soon,soon,sewn,soon,fricative,nasal,vowel,training,,1,26,soon,right
,CR,gild,gild,gild,guilt,stop,stop,offset,training,d,0,25,gild,left
R,FL,gloom,gloom,groom,gloom,stop,nasal,onset,training,,1,24,gloom,right
,CR,cop,cop,cop,cob,stop,stop,offset,training,p,0,23,cop,left
V,FL,gun,gun,gun,gum,stop,nasal,offset,training,,0,22,gun,left
,FL,tune,tune,tune,tone,stop,nasal,vowel,training,,0,21,tune,left
,CR,god,god,got,god,stop,stop,offset,training,d,1,20,god,right
,FL,fields,fields,feels,fields,fricative,fricative,offset,training,,1,19,fields,right
,CR,slide,slide,slight,slide,fricative,stop,offset,training,d,1,18,slide,right
R,FL,die,die,die,tie,stop,vowel,onset,training,,0,17,die,left
,FL,robes,robes,robes,ropes,liquid,fricative,offset,training,,0,16,robes,left
R,FL,team,team,teen,team,fricative,nasal,offset,training,,1,15,team,right
,CR,tuck,tuck,tuck,tug,stop,stop,offset,training,k,0,14,tuck,left
,FL,live,live,lib,live,liquid,fricative,offset,training,,1,13,live,right
,CR,mop,mop,mob,mop,nasal,stop,offset,training,p,1,12,mop,right
R,FL,pool,pool,pool,pull,stop,liquid,vowel,training,,0,11,pool,left
R,FL,teen,teen,teen,team,fricative,nasal,offset,training,,0,10,teen,left
,CR,hut,hut,hut,hug,fricative,stop,offset,training,t,0,9,hut,left
V,FL,ram,ram,ran,ram,liquid,nasal,offset,training,,1,8,ram,right
,CR,sit,sit,sit,sick,fricative,stop,offset,training,t,0,7,sit,left
,FL,cards,cards,cards,cars,stop,fricative,offset,training,,0,6,cards,left
,FL,peas,peas,peace,peas,stop,fricative,offset,training,,1,5,peas,right
,CR,lad,lad,lab,lad,liquid,stop,offset,training,d,1,4,lad,right
V,FL,thing,thing,thing,sing,fricative,nasal,onset,training,,0,3,thing,left
,FL,room,room,roam,room,liquid,nasal,vowel,training,,1,2,room,right
R,FL,cane,cane,came,cane,stop,nasal,offset,training,,1,1,cane,right
,CR,feet,feet,feed,feet,fricative,stop,offset,test1,t,1,32,feet2,right
R,FL,gave,gave,gave,cave,stop,fricative,onset,test1,,0,31,gave,left
,CR,bud,bud,bud,but,stop,stop,offset,test1,d,0,30,bud2,left
R,FL,dune,dune,dune,doom,stop,nasal,offset,test1,,0,29,dune,left
R,FL,moss,moss,mouse,moss,stop,fricative,vowel,test1,,1,28,moss,right
R,FL,dune,dune,doom,dune,stop,nasal,offset,test1,,1,27,dune2,right
,CR,duck,duck,duck,dug,stop,stop,offset,test1,k,0,26,duck2,left
R,FL,pen,pen,pan,pen,stop,nasal,vowel,test1,,1,25,pen2,right
R,FL,doom,doom,doom,dune,stop,nasal,offset,test1,,0,24,doom2,left
,CR,tab,tab,tab,tap,stop,stop,offset,test1,b,0,23,tab2,left
R,FL,cave,cave,gave,cave,stop,fricative,onset,test1,,1,22,cave,right
R,FL,wren,wren,wren,ran,liquid,nasal,vowel,test1,,0,21,wren,left
,CR,dug,dug,duck,dug,stop,stop,offset,test1,g,1,20,dug2,right
R,FL,mess,mess,mice,mess,nasal,fricative,vowel,test1,,1,19,mess2,right
R,FL,cave,cave,cave,gave,stop,fricative,onset,test1,,0,18,cave2,left
R,FL,run,run,rum,run,liquid,nasal,offset,test1,,1,17,run2,right
,CR,sack,sack,sag,sack,fricative,stop,offset,test1,k,1,16,sack2,right
R,FL,batch,batch,batch,patch,stop,affricate,onset,test1,,0,15,batch,left
R,FL,run,run,run,rum,liquid,nasal,offset,test1,,0,14,run,left
,CR,feed,feed,feet,feed,fricative,stop,offset,test1,d,1,13,feed2,right
R,FL,goal,goal,goal,coal,stop,liquid,onset,test1,,0,12,goal2,left
,CR,robe,robe,robe,rope,liquid,stop,offset,test1,b,0,11,robe2,left
,CR,sag,sag,sag,sack,fricative,stop,offset,test1,g,0,10,sag2,left
R,FL,ran,ran,wren,ran,liquid,nasal,vowel,test1,,1,9,ran,right
R,FL,hone,hone,hone,home,fricative,nasal,offset,test1,,0,8,hone2,left
,CR,but,but,but,bud,stop,stop,offset,test1,t,0,7,but2,left
R,FL,ran,ran,wren,ran,liquid,nasal,vowel,test1,,1,6,ran2,right
R,FL,patch,patch,batch,patch,stop,affricate,onset,test1,,1,5,patch2,right
,CR,tap,tap,tab,tap,stop,stop,offset,test1,p,1,4,tap2,right
R,FL,gave,gave,gave,cave,stop,fricative,onset,test1,,0,3,gave2,left
R,FL,pan,pan,pen,pan,stop,nasal,vowel,test1,,1,2,pan,right
,CR,rope,rope,robe,rope,liquid,stop,offset,test1,p,1,1,rope2,right
,CR,but,but,bud,but,stop,stop,offset,test2,t,1,32,but,right
R,FL,rum,rum,rum,run,liquid,nasal,offset,test2,,0,31,rum2,left
R,FL,home,home,hone,home,fricative,nasal,offset,test2,,1,30,home,right
,CR,sack,sack,sack,sag,fricative,stop,offset,test2,k,0,29,sack,left
R,FL,mess,mess,mess,mice,nasal,fricative,vowel,test2,,0,28,mess,left
,CR,tab,tab,tap,tab,stop,stop,offset,test2,b,1,27,tab,right
R,FL,moss,moss,mouse,moss,stop,fricative,vowel,test2,,1,26,moss2,right
R,FL,coal,coal,coal,goal,stop,liquid,onset,test2,,0,25,coal2,left
,CR,duck,duck,duck,dug,stop,stop,offset,test2,k,0,24,duck,left
R,FL,goal,goal,coal,goal,stop,liquid,onset,test2,,1,23,goal,right
R,FL,wren,wren,wren,ran,liquid,nasal,vowel,test2,,0,22,wren2,left
R,FL,coal,coal,goal,coal,stop,liquid,onset,test2,,1,21,coal,right
,CR,dug,dug,duck,dug,stop,stop,offset,test2,g,1,20,dug,right
R,FL,batch,batch,batch,patch,stop,affricate,onset,test2,,0,19,batch2,left
R,FL,hone,hone,home,hone,fricative,nasal,offset,test2,,1,18,hone,right
,CR,bud,bud,bud,but,stop,stop,offset,test2,d,0,17,bud,left
R,FL,patch,patch,patch,batch,stop,affricate,onset,test2,,0,16,patch,left
R,FL,pen,pen,pan,pen,stop,nasal,vowel,test2,,1,15,pen,right
R,FL,mice,mice,mice,mess,nasal,fricative,vowel,test2,,0,14,mice,left
,CR,rope,rope,rope,robe,liquid,stop,offset,test2,p,0,13,rope,left
R,FL,mouse,mouse,moss,mouse,nasal,fricative,onset,test2,,1,12,mouse,right
,CR,feed,feed,feet,feed,fricative,stop,offset,test2,d,1,11,feed,right
R,FL,doom,doom,dune,doom,stop,nasal,offset,test2,,1,10,doom,right
R,FL,pan,pan,pan,pen,stop,nasal,vowel,test2,,0,9,pan2,left
,CR,sag,sag,sack,sag,fricative,stop,offset,test2,g,1,8,sag,right
R,FL,home,home,hone,home,fricative,nasal,offset,test2,,1,7,home2,right
,CR,robe,robe,robe,rope,liquid,stop,offset,test2,b,0,6,robe,left
,CR,tap,tap,tab,tap,stop,stop,offset,test2,p,1,5,tap,right
R,FL,mice,mice,mice,mess,nasal,fricative,vowel,test2,,0,4,mice2,left
R,FL,rum,rum,run,rum,liquid,nasal,offset,test2,,1,3,rum,right
R,FL,mouse,mouse,mouse,moss,nasal,fricative,onset,test2,,0,2,mouse2,left
,CR,feet,feet,feet,feed,fricative,stop,offset,test2,t,0,1,feet,left
