FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,Left/Right
R,FL,beach,beach,peach,beach,stop,affricate,onset,training,,1,130,beach,right
,CR,aid,aid,ate,aid,vowel,stop,offset,training,d,1,129,aid,right
,FL,they,they,say,they,fricative,vowel,onset,training,,1,128,they,right
,CR,pot,pot,pot,pod,stop,stop,offset,training,t,0,127,pot,left
V,FL,glean,glean,glean,green,stop,nasal,onset,training,,0,126,glean,left
,FL,bathe,bathe,bathe,base,stop,fricative,offset,training,,0,125,bathe,left
,CR,pond,pond,pound,pond,stop,stop,vowel,training,d,1,124,pond,right
R,FL,came,came,came,cane,stop,nasal,offset,training,,0,123,came,left
R,FL,tan,tan,ten,tan,stop,nasal,vowel,training,,1,122,tan,right
V,FL,vine,vine,vein,vine,fricative,nasal,vowel,training,,1,121,vine,right
,CR,lab,lab,lap,lab,liquid,stop,offset,training,b,1,120,lab,right
R,FL,buys,buys,buys,pies,stop,fricative,onset,training,,0,119,buys,left
,FL,rang,rang,ran,rang,liquid,nasal,offset,training,,1,118,rang,right
,CR,hood,hood,hood,hook,fricative,stop,offset,training,d,0,117,hood,left
,FL,clear,clear,clear,queer,stop,liquid,onset,training,,0,116,clear,left
,FL,holds,holds,holes,holds,fricative,fricative,offset,training,,1,115,holds,right
,CR,find,find,find,fond,fricative,stop,vowel,training,d,0,114,find,left
R,FL,gown,gown,gown,gone,stop,nasal,vowel,training,,0,113,pan,left
V,FL,cords,cords,cords,cores,stop,fricative,offset,training,,0,112,cords,left
,CR,vet,vet,wet,vet,fricative,stop,onset,training,t,1,111,vet,right
R,FL,seen,seen,seem,seen,fricative,nasal,offset,training,,1,110,seen,right
V,FL,green,green,grin,green,stop,nasal,vowel,training,,1,109,green,right
,CR,white,white,white,wide,approximant,stop,offset,training,t,0,108,white,left
,FL,falls,falls,falls,FALSE,fricative,fricative,offset,training,,0,107,falls,left
R,FL,sin,sin,sing,sin,fricative,nasal,offset,training,,1,106,sin,right
,FL,lose,lose,lose,loose,liquid,fricative,offset,training,,0,105,lose,left
,CR,head,head,head,heck,fricative,stop,offset,training,d,0,104,head,left
,FL,clown,clown,clone,clown,stop,nasal,vowel,training,,1,103,clown,right
,FL,path,path,pass,path,stop,fricative,offset,training,,1,102,path,right
,FL,train,train,train,chain,stop,nasal,onset,training,,0,101,train,left
,CR,look,look,luck,look,liquid,stop,vowel,training,k,1,100,look,right
,FL,though,though,though,so,fricative,vowel,onset,training,,0,99,though,left
R,FL,pies,pies,buys,pies,stop,fricative,onset,training,,1,98,pies,right
,CR,ride,ride,right,ride,liquid,stop,offset,training,d,1,97,ride,right
R,FL,peach,peach,beach,peach,stop,affricate,onset,training,,1,96,peach,right
V,FL,sun,sun,sun,soon,fricative,nasal,vowel,training,,0,95,sun,left
R,FL,win,win,win,wing,approximant,nasal,offset,training,,0,94,win,left
,CR,need,need,neat,need,nasal,stop,offset,training,d,1,93,need,right
,CR,beg,beg,beg,bed,stop,stop,offset,training,g,0,92,beg,left
R,FL,seem,seem,seem,seen,fricative,nasal,offset,training,,0,91,seem,left
,FL,beads,beads,beats,beads,stop,fricative,offset,training,,1,90,beads,right
,CR,peak,peak,pig,peak,stop,stop,vowel,training,k,1,89,peak,right
,FL,please,please,please,fleas,stop,fricative,onset,training,,0,88,please,left
,CR,put,put,pot,put,stop,stop,vowel,training,t,1,87,put,right
,CR,said,said,said,set,fricative,stop,offset,training,d,0,86,said,left
R,FL,fool,fool,fall,fool,fricative,liquid,vowel,training,,1,85,fool,right
,FL,clean,clean,clean,queen,stop,nasal,onset,training,,0,84,clean,left
,CR,shot,shot,shot,shock,fricative,stop,offset,training,t,0,83,shot,left
R,FL,tie,tie,die,tie,stop,vowel,onset,training,,1,82,tie,right
V,FL,some,some,some,sun,fricative,nasal,offset,training,,0,81,some,left
,CR,neat,neat,need,neat,nasal,stop,offset,training,t,1,80,neat,right
,FL,carve,carve,car,carve,stop,fricative,offset,training,,1,79,carve,right
R,FL,gone,gone,gown,gone,stop,nasal,vowel,training,,1,78,gone,right
,CR,pat,pat,pat,pad,stop,stop,offset,training,t,0,77,pat,left
,FL,fun,fun,phone,fun,fricative,nasal,vowel,training,,1,76,fun,right
,CR,not,not,nod,not,nasal,stop,offset,training,t,1,75,not,right
R,FL,wing,wing,wing,win,approximant,nasal,offset,training,,0,74,wing,left
,FL,serve,serve,sir,serve,fricative,fricative,offset,training,,1,73,serve,right
,CR,good,good,good,could,stop,stop,onset,training,d,0,72,good,left
,CR,dig,dig,dig,dick,stop,stop,offset,training,g,0,71,dig,left
R,FL,dime,dime,dime,time,stop,nasal,onset,training,,0,70,dime,left
,FL,curve,curve,curb,curve,stop,fricative,offset,training,,1,69,curve,right
,CR,wait,wait,wade,wait,approximant,stop,offset,training,t,1,68,wait,right
,FL,gong,gong,gong,gone,stop,nasal,offset,training,,0,67,gong,left
,CR,bed,bed,bed,bet,stop,stop,offset,training,d,0,66,bed,left
