FillerType,TrialType,Word,Target,Visual1,Visual2,Onset,Offset,Contrast,Phase,final_stop,Left/Right,Order,Filename,CorrectAnswer
R,FL,beach,beach,peach,beach,stop,affricate,onset,training,,1,1,beach,beach
,CR,aid,aid,ate,aid,vowel,stop,offset,training,d,1,2,aid,aid
,FL,they,they,say,they,fricative,vowel,onset,training,,1,3,they,they
,CR,pot,pot,pot,pod,stop,stop,offset,training,t,0,4,pot,pot
V,FL,glean,glean,glean,green,stop,nasal,onset,training,,0,5,glean,glean
,FL,bathe,bathe,bathe,base,stop,fricative,offset,training,,0,6,bathe,bathe
,CR,pond,pond,pound,pond,stop,stop,vowel,training,d,1,7,pond,pond
R,FL,came,came,came,cane,stop,nasal,offset,training,,0,8,came,came
R,FL,tan,tan,ten,tan,stop,nasal,vowel,training,,1,9,tan,tan
V,FL,vine,vine,vein,vine,fricative,nasal,vowel,training,,1,10,vine,vine
,CR,lab,lab,lap,lab,liquid,stop,offset,training,b,1,11,lab,lab
R,FL,buys,buys,buys,pies,stop,fricative,onset,training,,0,12,buys,buys
,FL,rang,rang,ran,rang,liquid,nasal,offset,training,,1,13,rang,rang
,CR,hood,hood,hood,hook,fricative,stop,offset,training,d,0,14,hood,hood
,FL,clear,clear,clear,queer,stop,liquid,onset,training,,0,15,clear,clear
,FL,holds,holds,holes,holds,fricative,fricative,offset,training,,1,16,holds,holds
,CR,find,find,find,fond,fricative,stop,vowel,training,d,0,17,find,find
R,FL,gown,gown,gown,gone,stop,nasal,vowel,training,,0,18,pan,pan
V,FL,cords,cords,cords,cores,stop,fricative,offset,training,,0,19,cords,cords
,CR,vet,vet,wet,vet,fricative,stop,onset,training,t,1,20,vet,vet
R,FL,seen,seen,seem,seen,fricative,nasal,offset,training,,1,21,seen,seen
V,FL,green,green,grin,green,stop,nasal,vowel,training,,1,22,green,green
,CR,white,white,white,wide,approximant,stop,offset,training,t,0,23,white,white
,FL,falls,falls,falls,FALSE,fricative,fricative,offset,training,,0,24,falls,falls
R,FL,sin,sin,sing,sin,fricative,nasal,offset,training,,1,25,sin,sin
,FL,lose,lose,lose,loose,liquid,fricative,offset,training,,0,26,lose,lose
,CR,head,head,head,heck,fricative,stop,offset,training,d,0,27,head,head
,FL,clown,clown,clone,clown,stop,nasal,vowel,training,,1,28,clown,clown
,FL,path,path,pass,path,stop,fricative,offset,training,,1,29,path,path
,FL,train,train,train,chain,stop,nasal,onset,training,,0,30,train,train
,CR,look,look,luck,look,liquid,stop,vowel,training,k,1,31,look,look
,FL,though,though,though,so,fricative,vowel,onset,training,,0,32,though,though
R,FL,pies,pies,buys,pies,stop,fricative,onset,training,,1,33,pies,pies
,CR,ride,ride,right,ride,liquid,stop,offset,training,d,1,34,ride,ride
R,FL,peach,peach,beach,peach,stop,affricate,onset,training,,1,35,peach,peach
